Datenstand,IdBundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max
2022-04-23,0,24141333,134155,135079,234,683308,2022-04-23,2022-04-22
2022-04-23,1,623681,2413,6740,10,33321,2022-04-23,2022-04-22
2022-04-23,2,521933,2497,4992,4,14792,2022-04-23,2022-04-22
2022-04-23,3,2070776,8565,22926,28,93971,2022-04-23,2022-04-22
2022-04-23,4,180508,743,1436,2,7578,2022-04-23,2022-04-22
2022-04-23,5,4817979,24485,27591,40,139399,2022-04-23,2022-04-22
2022-04-23,6,1669943,9847,11262,18,62581,2022-04-23,2022-04-22
2022-04-23,7,1042335,5462,8643,4,36196,2022-04-23,2022-04-22
2022-04-23,8,3408864,15644,15929,21,82850,2022-04-23,2022-04-22
2022-04-23,9,4526845,23341,15828,37,105882,2022-04-23,2022-04-22
2022-04-23,10,292385,1615,1429,5,10019,2022-04-23,2022-04-22
2022-04-23,11,979691,4458,2833,3,15145,2022-04-23,2022-04-22
2022-04-23,12,747531,5531,2497,8,14159,2022-04-23,2022-04-22
2022-04-23,13,458629,2139,2357,3,12425,2022-04-23,2022-04-22
2022-04-23,14,1442527,15159,4574,31,24306,2022-04-23,2022-04-22
2022-04-23,15,677484,5204,3561,13,17263,2022-04-23,2022-04-22
2022-04-23,16,680222,7052,2481,7,13421,2022-04-23,2022-04-22
