Datenstand,IdBundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max
2022-04-19,0,23459628,132960,22483,7,557045,2022-04-19,2022-04-18
2022-04-19,1,589191,2373,739,0,21187,2022-04-19,2022-04-18
2022-04-19,2,507772,2479,1645,0,16001,2022-04-19,2022-04-18
2022-04-19,3,1961605,8461,0,0,58678,2022-04-19,2022-04-14
2022-04-19,4,173943,735,0,0,5501,2022-04-19,2022-04-16
2022-04-19,5,4686358,24285,7632,1,120125,2022-04-19,2022-04-18
2022-04-19,6,1615170,9769,3475,0,49499,2022-04-19,2022-04-18
2022-04-19,7,1005497,5420,373,0,27956,2022-04-19,2022-04-18
2022-04-19,8,3311070,15512,0,0,57925,2022-04-19,2022-04-16
2022-04-19,9,4443131,23148,7480,5,113340,2022-04-19,2022-04-18
2022-04-19,10,283625,1587,0,0,9533,2022-04-19,2022-04-16
2022-04-19,11,964440,4427,106,0,13106,2022-04-19,2022-04-18
2022-04-19,12,731755,5491,0,0,9222,2022-04-19,2022-04-14
2022-04-19,13,447742,2107,711,1,13589,2022-04-19,2022-04-18
2022-04-19,14,1413227,15055,0,0,17730,2022-04-19,2022-04-14
2022-04-19,15,660143,5151,322,0,12588,2022-04-19,2022-04-18
2022-04-19,16,664959,6960,0,0,11065,2022-04-19,2022-04-15
