Datenstand,IdBundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max
2022-04-21,0,23844536,133632,186325,324,599220,2022-04-21,2022-04-20
2022-04-21,1,610118,2395,10082,3,28561,2022-04-21,2022-04-20
2022-04-21,2,512541,2489,3231,10,12558,2022-04-21,2022-04-20
2022-04-21,3,2024212,8514,24618,11,74841,2022-04-21,2022-04-20
2022-04-21,4,177521,739,1923,2,5795,2022-04-21,2022-04-20
2022-04-21,5,4757745,24406,36249,52,125815,2022-04-21,2022-04-20
2022-04-21,6,1646121,9811,17166,21,55051,2022-04-21,2022-04-20
2022-04-21,7,1023881,5448,10648,20,28206,2022-04-21,2022-04-20
2022-04-21,8,3374653,15591,24493,40,75357,2022-04-21,2022-04-20
2022-04-21,9,4485896,23238,25325,43,101724,2022-04-21,2022-04-20
2022-04-21,10,288965,1608,2364,9,9625,2022-04-21,2022-04-20
2022-04-21,11,973585,4452,4553,9,12847,2022-04-21,2022-04-20
2022-04-21,12,741232,5514,4796,16,10974,2022-04-21,2022-04-20
2022-04-21,13,453613,2127,4727,7,12013,2022-04-21,2022-04-20
2022-04-21,14,1431204,15103,8238,28,20612,2022-04-21,2022-04-20
2022-04-21,15,668872,5177,4553,15,13369,2022-04-21,2022-04-20
2022-04-21,16,674377,7020,3359,38,11872,2022-04-21,2022-04-20
