Datenstand,IdBundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max
2022-04-25,0,24200596,134185,20084,6,657621,2022-04-25,2022-04-24
2022-04-25,1,625260,2413,391,0,32794,2022-04-25,2022-04-24
2022-04-25,2,527657,2503,2065,0,17357,2022-04-25,2022-04-23
2022-04-25,3,2070777,8565,0,0,85318,2022-04-25,2022-04-23
2022-04-25,4,181874,743,596,0,7565,2022-04-25,2022-04-24
2022-04-25,5,4835845,24490,6014,1,136977,2022-04-25,2022-04-24
2022-04-25,6,1676385,9847,1577,0,59500,2022-04-25,2022-04-24
2022-04-25,7,1044670,5463,969,1,35536,2022-04-25,2022-04-24
2022-04-25,8,3408866,15644,0,0,75442,2022-04-25,2022-04-23
2022-04-25,9,4546688,23355,7784,3,105436,2022-04-25,2022-04-24
2022-04-25,10,293530,1615,0,0,9814,2022-04-25,2022-04-23
2022-04-25,11,980069,4458,92,0,14692,2022-04-25,2022-04-24
2022-04-25,12,747531,5531,0,0,13486,2022-04-25,2022-04-22
2022-04-25,13,460240,2139,407,0,12231,2022-04-25,2022-04-24
2022-04-25,14,1442527,15159,0,0,21972,2022-04-25,2022-04-22
2022-04-25,15,678455,5208,189,1,17200,2022-04-25,2022-04-24
2022-04-25,16,680222,7052,0,0,12301,2022-04-25,2022-04-22
